identity,count,first_height,last_height,height_count,suggested_group,confidence,reason
4222,83,70000,944000,29,unidentified,low,Opaque numeric entity label; defaulting to general institutional/corporate bucket pending manual review.
Pandora Open Market,45,300000,500000,5,Darknet mixers and illicit services,medium,Open-market illicit-service style labeling.
Betcoin.tm,18,300000,400000,3,"Casinos, betting, and gaming",high,Betting / gaming brand.
BitcoinVideoCasino,14,300000,300000,1,"Casinos, betting, and gaming",high,Casino / gaming brand.
MintPal,11,300000,300000,1,"Exchanges, brokerages, and custody services",high,Historic exchange brand.
Tidebit,11,500000,850000,6,"Exchanges, brokerages, and custody services",high,Exchange brand.
Archive.org,10,300000,850000,10,"Governments, public sector, and charities",medium,Public-interest nonprofit/charitable organization.
Ten X,10,550000,800000,6,"Payments, wallets, and merchant services",medium,Payments card/wallet brand.
Banx.io,9,300000,300000,1,"Payments, wallets, and merchant services",medium,Payments/card-wallet style branding.
ACE,7,700000,850000,4,"Exchanges, brokerages, and custody services",low,Short venue-like label; provisional exchange/custody bucket.
Bitfoliex,7,600000,650000,2,"Exchanges, brokerages, and custody services",medium,Exchange-style venue label.
BitMart,7,550000,700000,4,"Exchanges, brokerages, and custody services",high,Exchange brand.
Novadax,7,700000,850000,4,"Exchanges, brokerages, and custody services",high,Exchange brand.
AEX,6,550000,700000,4,"Exchanges, brokerages, and custody services",high,Exchange brand.
BitForex,6,550000,800000,6,"Exchanges, brokerages, and custody services",high,Exchange brand.
Coinomat,6,300000,300000,1,"Payments, wallets, and merchant services",medium,Wallet/payments-oriented service brand.
EveryDice.com,6,300000,300000,1,"Casinos, betting, and gaming",high,Dice gambling brand.
GDAC,6,600000,700000,3,"Exchanges, brokerages, and custody services",high,Exchange brand.
Satoshi Roulette,6,300000,300000,1,"Casinos, betting, and gaming",high,Roulette / gaming brand.
Bitsolo,5,300000,300000,1,"Casinos, betting, and gaming",medium,Gaming-style brand; provisional casino bucket.
Coin Cloud,5,450000,650000,5,"Payments, wallets, and merchant services",high,Bitcoin ATM operator / payments rails.
Coinjar,5,300000,300000,1,"Exchanges, brokerages, and custody services",high,Exchange/brokerage brand.
